Date,Open,High,Low,Close,Adj Close,Volume
2021-10-19,41.599998,42.200001,41.540001,42.090000,40.757702,17159800
2021-10-20,42.119999,43.110001,42.099998,42.799999,41.445229,22788300
2021-10-21,43.060001,43.090000,42.430000,42.860001,41.503334,22142300
2021-10-22,42.820000,43.189999,42.630001,43.160000,41.793835,17183000
2021-10-25,43.200001,43.240002,42.570000,43.150002,41.784153,22846200
2021-10-26,43.330002,43.759998,42.919998,43.560001,42.181175,29729100
2021-10-27,43.459999,43.560001,42.680000,42.970001,41.609848,22317500
2021-10-28,42.950001,43.669998,42.939999,43.180000,41.813206,18023400
2021-10-29,43.090000,43.830002,42.860001,43.740002,42.355480,30307500
2021-11-01,44.139999,44.290001,43.439999,43.639999,42.258640,32681500
2021-11-02,45.080002,46.040001,43.049999,45.450001,44.011349,69248000
2021-11-03,45.520000,45.990002,44.480000,44.820000,43.401287,44593100
2021-11-04,44.290001,44.470001,43.310001,43.849998,42.834713,38172500
2021-11-05,48.090000,48.810001,46.549999,48.610001,47.484509,173959100
2021-11-08,48.610001,48.790001,47.599998,48.330002,47.210987,57423300
2021-11-09,48.330002,48.380001,47.150002,47.299999,46.204834,29920400
2021-11-10,47.400002,49.209999,47.400002,49.020000,47.885017,42696200
2021-11-11,49.230000,50.500000,48.730000,50.180000,49.018154,42370400
2021-11-12,50.419998,50.490002,49.570000,49.730000,48.578575,27780600
2021-11-15,49.730000,50.099998,49.369999,49.650002,48.500427,27763200
2021-11-16,49.470001,50.160000,48.889999,49.599998,48.451580,31297200
2021-11-17,49.939999,51.090000,49.689999,50.869999,49.692177,36889800
2021-11-18,51.099998,51.709999,50.610001,51.410000,50.219677,32872600
2021-11-19,51.959999,52.840000,50.680000,50.799999,49.623798,47966200
2021-11-22,50.950001,51.470001,50.380001,51.200001,50.014538,27287900
2021-11-23,50.580002,51.450001,50.299999,51.080002,49.897320,24946200
2021-11-24,51.180000,51.330002,50.709999,50.889999,49.711716,18556800
2021-11-26,54.040001,54.939999,53.250000,54.000000,52.749710,66561300
2021-11-29,55.150002,55.700001,52.110001,52.400002,51.186756,72660800
2021-11-30,52.310001,54.459999,51.910000,53.730000,52.485962,64598400
2021-12-01,52.470001,55.169998,51.860001,54.680000,53.413967,59810400
2021-12-02,53.820000,55.080002,52.770000,53.040001,51.811939,46361700
2021-12-03,53.709999,54.410000,53.099998,54.270000,53.013458,37574800
2021-12-06,53.779999,53.889999,51.250000,51.480000,50.288055,53724000
2021-12-07,51.250000,52.500000,50.400002,51.720001,50.522499,41575400
2021-12-08,52.750000,53.080002,51.029999,51.400002,50.209908,37429200
2021-12-09,51.509998,52.849998,51.509998,52.080002,50.874165,38325700
2021-12-10,51.200001,52.849998,51.110001,52.779999,51.557957,26079400
2021-12-13,53.439999,55.730000,53.439999,55.200001,53.921925,54923200
2021-12-14,54.770000,55.950001,54.320000,55.540001,54.254055,48685700
2021-12-15,56.110001,58.919998,55.889999,58.799999,57.438568,75202900
2021-12-16,58.360001,61.430000,57.750000,61.250000,59.831848,75183600
2021-12-17,59.930000,61.189999,58.700001,59.480000,58.102825,104192100
2021-12-20,60.599998,61.709999,59.830002,61.020000,59.607170,55712200
2021-12-21,60.009998,60.040001,57.160000,58.950001,57.585098,63877900
2021-12-22,59.250000,60.590000,58.220001,59.549999,58.171204,62594900
2021-12-23,59.820000,60.080002,58.310001,58.709999,57.350655,39203200
2021-12-27,58.849998,59.380001,58.230000,59.200001,57.829311,27362600
2021-12-28,59.049999,59.450001,57.080002,58.009998,56.666862,36901700
2021-12-29,57.310001,58.029999,57.070000,57.580002,56.246819,26170200
2021-12-30,57.750000,58.740002,57.529999,58.400002,57.047832,24559000
2021-12-31,58.529999,59.799999,58.439999,59.049999,57.682781,28579600
2022-01-03,58.500000,58.549999,56.340000,56.650002,55.338352,57219200
2022-01-04,56.220001,56.430000,53.939999,54.529999,53.267433,66993100
2022-01-05,55.840000,56.439999,55.369999,55.630001,54.341972,52956400
2022-01-06,55.160000,55.630001,54.490002,54.840000,53.570259,37000400
2022-01-07,55.360001,55.770000,54.630001,55.720001,54.429882,27703400
2022-01-10,55.709999,56.259998,54.740002,56.240002,54.937847,34044700
2022-01-11,56.750000,57.430000,55.810001,56.689999,55.377422,33576600
2022-01-12,56.340000,57.160000,55.900002,56.650002,55.338352,27608500
2022-01-13,56.529999,56.750000,55.220001,55.540001,54.254055,28117900
2022-01-14,54.980000,55.380001,54.509998,54.950001,53.677715,27072500
2022-01-18,54.500000,54.549999,53.430000,54.110001,52.857159,35598000
2022-01-19,53.650002,54.490002,53.450001,53.540001,52.300362,27300400
2022-01-20,53.959999,54.520000,53.070000,54.049999,52.798550,35105300
2022-01-21,54.419998,54.869999,52.459999,52.790001,51.567726,41059000
2022-01-24,51.750000,52.060001,49.820000,51.540001,50.346668,59036400
2022-01-25,51.360001,52.840000,51.240002,52.540001,51.323517,43983200
2022-01-26,52.570000,53.619999,52.459999,53.009998,51.782627,39644800
